Age (bin),Date of hire,Date of last perf. Review,Date of termination,Dept,DOB,Employee ID,Employment status,Gender,Manager Name,Marital Status,Perf. Score,Position,Termination reason,Absences,Age,Emp. Sat.,Late days,Salary
40,7/3/2013,3/31/2014,4/15/2014,Operations,11/6/1979,100256,Voluntarily Terminated,F,David Clarke,Divorced,Met Expectations,Production Technician II,Found a better Job,1,46,3,6,66507
60,7/5/2013,3/2/2016,3/17/2016,Operations,10/4/1958,100257,Voluntarily Terminated,M,Brendan Pitt,Single,Exceeded Expectations,Production Technician II,Retired,2,67,3,0,73913
40,7/19/2013,1/29/2019,,Operations,12/8/1978,100258,Active,F,Brendan Pitt,Married,Improvement Needed,Production Technician I,NA - Still Employed,1,47,5,0,65456
30,7/26/2013,2/21/2019,,Operations,6/7/1988,100259,Active,F,Amanda Gregory,Married,Met Expectations,Production Technician I,NA - Still Employed,4,37,3,1,66883
40,8/14/2013,11/5/2019,,Operations,4/25/1985,100260,Active,M,Brendan Pitt,Widowed,Exceeded Expectations,Production Technician I,NA - Still Employed,4,40,5,0,63860
40,8/15/2013,1/23/2019,,Operations,3/2/1984,100261,Active,M,Will Bailey,Single,Met Expectations,Production Technician I,NA - Still Employed,5,41,5,0,61106
40,8/19/2013,2/15/2019,,Operations,8/17/1984,100262,Active,F,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,0,41,5,0,64277
40,8/21/2013,1/27/2019,,Sales,9/14/1980,100263,Active,M,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,8,45,5,0,68535
50,8/22/2013,2/24/2019,,Operations,5/26/1975,100264,Active,F,Amanda Gregory,Married,Met Expectations,Production Technician I,NA - Still Employed,4,50,5,0,50016
40,8/25/2013,11/3/2019,,Operations,3/1/1980,100265,Active,M,Will Bailey,Single,Met Expectations,Production Technician I,NA - Still Employed,17,45,4,0,57936
40,8/27/2013,1/29/2019,,Operations,7/11/1980,100266,Active,M,Amanda Gregory,Single,Met Expectations,Production Technician I,NA - Still Employed,17,45,5,0,60361
30,8/27/2013,2/18/2019,,Sales,3/2/1990,100267,Active,F,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,2,35,5,2,65273
30,8/27/2013,2/6/2019,,Operations,1/6/1992,100268,Active,F,Brendan Pitt,Single,Met Expectations,Production Technician I,NA - Still Employed,8,33,4,0,54852
40,8/28/2013,9/11/2016,9/26/2016,Operations,12/6/1977,100269,Voluntarily Terminated,F,Micheal Miller,Widowed,Met Expectations,Production Technician II,Went for higher paying job,14,48,4,0,70060
30,9/5/2013,2/24/2019,,Operations,4/7/1986,100270,Active,F,Emily Albright,Married,Met Expectations,Production Technician I,NA - Still Employed,8,39,5,0,54852
60,9/9/2013,10/24/2019,,Operations,9/5/1959,100271,Active,F,Karen Linberg,Divorced,Met Expectations,Production Technician I,NA - Still Employed,6,66,4,0,69550
40,9/11/2013,12/10/2019,,Operations,5/1/1982,100272,Active,F,Erik Baker,Single,Exceeded Expectations,Production Technician II,NA - Still Employed,13,43,5,0,74864
40,9/30/2013,6/26/2019,,Operations,6/19/1976,100273,Active,F,Will Bailey,Single,Met Expectations,Production Technician I,NA - Still Employed,14,49,5,0,51905
30,10/8/2013,1/30/2019,,Sales,10/19/1991,100274,Active,F,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,13,34,4,0,66238
40,10/14/2013,1/29/2019,,Operations,10/4/1982,100275,Active,F,Jan Ramsey,Married,Exceeded Expectations,Production Manager,NA - Still Employed,0,43,3,2,82875
40,10/22/2013,7/11/2019,,Operations,6/29/1977,100276,Active,M,Lindsay Graham,Married,Exceeded Expectations,Production Technician I,NA - Still Employed,15,48,4,0,50271
50,10/23/2013,3/16/2019,,Operations,8/1/1966,100277,Active,F,Amanda Gregory,Divorced,Met Expectations,Production Technician I,NA - Still Employed,17,59,5,0,49787
50,10/24/2013,7/21/2014,8/5/2014,Operations,8/29/1971,100278,Voluntarily Terminated,M,Jan Ramsey,Single,Met Expectations,Production Manager,Retired,4,54,3,0,76963
40,10/29/2013,2/25/2019,,Operations,6/28/1984,100279,Active,F,Amanda Gregory,Divorced,Met Expectations,Production Technician II,NA - Still Employed,5,41,5,0,71107
40,10/30/2013,2/26/2019,,Operations,8/31/1983,100280,Active,M,Karen Linberg,Widowed,Met Expectations,Production Technician I,NA - Still Employed,10,42,4,0,62300
50,11/17/2013,2/20/2019,,Operations,9/25/1974,100281,Active,F,Brendan Pitt,Married,Met Expectations,Production Technician I,NA - Still Employed,3,51,4,0,65083
30,11/19/2013,3/3/2019,,Operations,2/4/1993,100282,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,6,32,5,0,57877
60,11/25/2013,1/30/2019,,Operations,8/18/1965,100283,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,13,60,4,0,62457
30,11/26/2013,8/19/2019,,Operations,2/3/1989,100284,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician II,NA - Still Employed,9,36,4,0,67795
30,12/5/2013,2/10/2019,,Software Engineering,1/31/1988,100285,Active,F,Alan Mitchell,Single,Met Expectations,Software Engineer,NA - Still Employed,2,37,5,0,107730
30,12/7/2013,2/14/2019,,Software Engineering,11/18/1987,100286,Active,F,Alan Mitchell,Single,Met Expectations,Software Engineer,NA - Still Employed,1,38,5,3,94115
40,2/1/2014,1/6/2016,1/21/2016,IT,8/4/1984,100287,Voluntarily Terminated,M,Graeme Smith,Married,Met Expectations,Data Analyst,Performance issues,7,41,5,0,95544
40,2/19/2014,4/18/2019,,Operations,6/2/1980,100288,Active,M,Micheal Miller,Single,Improvement Needed,Production Technician I,NA - Still Employed,3,45,3,0,54882
60,2/20/2014,2/28/2016,3/14/2016,IT,9/6/1964,100289,Terminated for Cause,M,Graeme Smith,Single,Met Expectations,Enterprise Architect,Legal issues,6,61,5,4,108533
40,2/22/2014,7/2/2019,,Operations,8/23/1978,100290,Active,M,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,4,47,4,0,49660
30,2/22/2014,11/27/2019,,Operations,1/16/1986,100291,Active,M,Lindsay Graham,Married,Met Expectations,Production Technician I,NA - Still Employed,6,39,4,3,61956
40,2/25/2014,11/29/2019,,Operations,4/7/1984,100292,Active,F,David Clarke,Single,Improvement Needed,Production Technician I,NA - Still Employed,4,41,5,0,64552
30,3/11/2014,2/22/2018,3/9/2018,Operations,2/25/1990,100293,Terminated for Cause,F,Erik Baker,Single,Improvement Needed,Production Technician I,Absconded,9,35,3,0,62017
30,3/13/2014,7/10/2019,,Operations,8/24/1988,100294,Active,F,Will Bailey,Single,Met Expectations,Production Technician II,NA - Still Employed,7,37,4,0,67548
40,4/3/2014,11/3/2019,,Operations,6/1/1979,100295,Active,M,Lindsay Graham,Married,Met Expectations,Production Technician I,NA - Still Employed,17,46,4,2,56679
40,4/29/2014,1/27/2019,,Operations,3/8/1983,100296,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,0,42,4,2,57145
50,5/7/2014,4/8/2019,,IT,2/7/1971,100297,Active,M,Jen Heinz,Single,Exceeded Expectations,IT Manager - Support,NA - Still Employed,7,54,5,0,140523
50,5/17/2014,1/22/2019,,Sales,9/4/1966,100298,Active,F,Jan Ramsey,Married,Met Expectations,Director of Sales,NA - Still Employed,5,59,4,0,180479
40,5/19/2014,2/8/2019,,Sales,1/10/1985,100299,Active,M,Diane Singer,Divorced,Improvement Needed,Sales Manager,NA - Still Employed,3,40,5,0,74599
40,6/1/2014,1/27/2019,,Admin,8/24/1984,100300,Active,M,Chris Clayton,Divorced,Met Expectations,Accountant I,NA - Still Employed,4,41,5,3,64809
30,6/2/2014,2/1/2019,,Sales,7/20/1990,100301,Active,F,Diane Singer,Single,Met Expectations,Sales Manager,NA - Still Employed,4,35,4,0,68000
60,6/4/2014,7/21/2019,,Operations,12/9/1961,100302,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,13,64,4,0,60440
30,6/7/2014,3/15/2019,,Operations,10/1/1986,100303,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,2,39,5,0,46106
50,6/11/2014,2/6/2019,,Operations,4/18/1975,100304,Active,F,David Clarke,Divorced,Met Expectations,Production Technician I,NA - Still Employed,2,50,5,3,61972
60,6/18/2014,1/23/2019,,Operations,1/9/1965,100305,Active,F,Lindsay Graham,Divorced,Met Expectations,Production Technician I,NA - Still Employed,5,60,5,0,62628
40,7/19/2014,3/21/2019,,Operations,6/17/1979,100306,Active,F,Erik Baker,Married,Met Expectations,Production Technician II,NA - Still Employed,19,46,5,0,73107
30,7/22/2014,3/7/2019,,Operations,8/1/1989,100307,Active,F,Brendan Pitt,Married,Exceeded Expectations,Production Technician I,NA - Still Employed,9,36,3,0,64735
50,7/29/2014,2/17/2019,,Operations,3/13/1968,100308,Active,M,Emily Albright,Married,Improvement Needed,Production Technician I,NA - Still Employed,4,57,3,0,56378
30,7/29/2014,3/22/2019,,Operations,2/18/1986,100309,Active,M,Amanda Gregory,Single,Met Expectations,Production Technician II,NA - Still Employed,16,39,5,0,70128
40,7/30/2014,2/24/2019,,Software Engineering,3/23/1984,100310,Active,M,Alan Mitchell,Single,Exceeded Expectations,Software Engineer,NA - Still Employed,3,41,5,0,94251
50,7/31/2014,5/24/2015,6/8/2015,Sales,12/7/1971,100311,Terminated for Cause,F,Jeff Newport,Widowed,Met Expectations,Area Sales Manager,Attendance,8,54,5,0,60456
30,8/2/2014,11/25/2015,12/10/2015,IT,3/4/1987,100312,Terminated for Cause,F,Graeme Smith,Single,Met Expectations,Database Administrator,Performance issues,1,38,4,0,114813
30,8/4/2014,3/15/2019,,Operations,2/8/1990,100313,Active,F,Micheal Miller,Divorced,Improvement Needed,Production Technician II,NA - Still Employed,11,35,1,0,60573
50,8/6/2014,11/5/2019,,Operations,1/22/1970,100314,Active,F,Brendan Pitt,Single,Exceeded Expectations,Production Technician II,NA - Still Employed,13,55,3,0,64680
40,9/5/2014,12/29/2019,,Operations,6/28/1977,100315,Active,M,Karen Linberg,Single,Met Expectations,Production Technician II,NA - Still Employed,3,48,5,0,68309
60,9/8/2014,1/29/2019,,Sales,3/18/1964,100316,Active,F,Jeff Newport,Single,Met Expectations,Area Sales Manager,NA - Still Employed,3,61,5,5,76367
30,9/10/2014,1/30/2019,,Sales,11/3/1988,100317,Active,M,Jeff Newport,Married,Met Expectations,Area Sales Manager,NA - Still Employed,15,37,5,0,72238
50,9/27/2014,1/22/2019,,Operations,10/23/1974,100318,Active,F,Jan Ramsey,Single,Met Expectations,Production Manager,NA - Still Employed,3,51,5,0,79500
50,9/30/2014,8/13/2018,8/28/2018,Sales,8/11/1975,100319,Terminated for Cause,M,Lyndon Johnson,Married,Improvement Needed,Area Sales Manager,Misconduct,14,50,5,0,71704
50,10/3/2014,2/3/2019,,Sales,4/11/1966,100320,Active,F,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,6,59,3,0,62864
50,10/8/2014,2/10/2019,,Sales,7/25/1975,100321,Active,M,Jeff Newport,Single,Improvement Needed,Area Sales Manager,NA - Still Employed,3,50,3,0,66291
40,10/8/2014,2/19/2019,,Operations,4/17/1979,100322,Active,F,David Clarke,Widowed,Met Expectations,Production Technician I,NA - Still Employed,7,46,5,0,47491
30,10/14/2014,2/27/2019,,Operations,4/19/1989,100323,Active,F,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,1,36,3,0,56840
30,10/15/2014,7/14/2019,,IT,2/20/1987,100324,Active,M,Peter van Leeuwen,Married,Met Expectations,Sr. Network Engineer,NA - Still Employed,11,38,5,0,96016
30,10/20/2014,2/9/2019,,Admin,10/17/1986,100325,Active,M,Chris Clayton,Single,Met Expectations,Accountant I,NA - Still Employed,2,39,5,0,66951
30,10/22/2014,1/24/2019,,Operations,5/29/1986,100326,Active,F,Erik Baker,Single,Met Expectations,Production Technician II,NA - Still Employed,17,39,5,0,67726
40,10/22/2014,7/22/2019,,Operations,4/6/1981,100327,Active,F,Emily Albright,Single,Exceeded Expectations,Production Technician I,NA - Still Employed,10,44,5,0,58464
40,10/23/2014,2/26/2019,,Operations,9/1/1985,100328,Active,F,David Clarke,Single,Met Expectations,Production Technician II,NA - Still Employed,17,40,5,0,62699
70,10/24/2014,12/16/2019,,Operations,9/3/1951,100329,Active,F,Micheal Miller,Single,Met Expectations,Production Technician I,NA - Still Employed,6,74,5,0,62734
70,10/25/2014,12/16/2019,,IT,11/30/1952,100330,Active,F,Peter van Leeuwen,Married,Met Expectations,Sr. Network Engineer,NA - Still Employed,8,73,5,0,86668
40,10/25/2014,2/1/2019,,Operations,7/13/1984,100331,Active,M,Will Bailey,Single,Met Expectations,Production Technician II,NA - Still Employed,14,41,3,0,68044
40,10/27/2014,7/19/2019,,IT,5/23/1981,100332,Active,F,Peter van Leeuwen,Married,Met Expectations,Network Engineer,NA - Still Employed,20,44,3,0,52308
30,10/28/2014,3/13/2019,,IT,7/23/1988,100333,Active,M,Graeme Smith,Divorced,Exceeded Expectations,Data Analyst,NA - Still Employed,12,37,4,0,93362
60,11/3/2014,2/2/2019,,IT,10/21/1965,100334,Active,M,Peter van Leeuwen,Single,Met Expectations,Sr. Network Engineer,NA - Still Employed,5,60,3,0,94072
40,11/4/2014,4/22/2019,,IT,5/30/1985,100335,Active,F,Graeme Smith,Married,Exceeded Expectations,Data Analyst,NA - Still Employed,12,40,5,0,96124
40,11/5/2014,2/9/2019,,Software Engineering,8/23/1979,100336,Active,F,Alan Mitchell,Single,Met Expectations,Software Engineer,NA - Still Employed,14,46,3,0,97646
50,11/7/2014,2/13/2019,,Operations,2/12/1975,100337,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,11,50,5,0,51704
40,12/15/2014,2/20/2019,,Operations,9/18/1980,100338,Active,F,Erik Baker,Single,Met Expectations,Production Technician I,NA - Still Employed,1,45,4,0,57505
40,12/24/2014,3/4/2019,,Operations,4/9/1978,100339,Active,M,Karen Linberg,Married,Met Expectations,Production Technician I,NA - Still Employed,3,47,5,0,53307
50,12/25/2014,3/2/2019,,Operations,11/22/1974,100340,Active,F,Emily Albright,Married,Exceeded Expectations,Production Technician I,NA - Still Employed,16,51,5,2,63189
40,12/29/2014,3/8/2019,,Operations,1/3/1983,100341,Active,M,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,4,42,4,0,54332
70,12/30/2014,2/23/2019,,Sales,3/23/1955,100342,Active,M,Jeff Newport,Married,Met Expectations,Area Sales Manager,NA - Still Employed,5,70,4,0,64467
50,1/1/2015,1/30/2019,,Sales,12/2/1974,100343,Active,M,Lyndon Johnson,Married,Improvement Needed,Area Sales Manager,NA - Still Employed,7,51,3,0,62072
30,1/11/2015,2/2/2019,,Admin,2/17/1989,100344,Active,F,Chris Clayton,Single,Met Expectations,Administrative Assistant,NA - Still Employed,8,36,4,0,53838
30,2/17/2015,4/7/2015,4/22/2015,Admin,5/3/1986,100345,Terminated for Cause,F,Chris Clayton,Married,Met Expectations,Administrative Assistant,Absconded,2,39,3,3,51612
40,2/20/2015,4/2/2019,,Operations,8/14/1982,100346,Active,M,Jan Ramsey,Divorced,Met Expectations,Production Manager,NA - Still Employed,16,43,3,0,63211
30,3/7/2015,2/12/2019,,Sales,10/25/1989,100347,Active,F,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,1,36,5,0,65520
40,3/7/2015,3/11/2019,,IT,7/18/1982,100348,Active,F,Graeme Smith,Married,Met Expectations,Data Analyst,NA - Still Employed,15,43,5,0,90171
50,3/9/2015,3/28/2015,4/12/2015,IT,7/9/1972,100349,Terminated for Cause,F,Graeme Smith,Single,Met Expectations,Database Administrator,Absconded,13,53,5,6,118996
30,3/12/2015,3/12/2019,,Admin,8/26/1987,100350,Active,F,Chris Clayton,Married,Met Expectations,Sr. Accountant,NA - Still Employed,19,38,5,1,107785
40,3/12/2015,11/3/2019,,IT,4/30/1979,100351,Active,F,Peter van Leeuwen,Married,Met Expectations,Network Engineer,NA - Still Employed,0,46,4,0,54795
40,3/15/2015,1/31/2019,,Operations,1/26/1976,100352,Active,F,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,16,49,4,0,54438
30,3/16/2015,3/8/2017,3/23/2017,IT,9/15/1986,100353,Terminated for Cause,M,Graeme Smith,Married,Met Expectations,Database Administrator,Absconded,0,39,4,6,117915
40,4/1/2015,1/4/2019,,IT,4/18/1979,100354,Active,F,Graeme Smith,Single,Met Expectations,Data Analyst,NA - Still Employed,2,46,4,0,91535
30,4/8/2015,2/19/2019,,IT,12/4/1986,100355,Active,M,Graeme Smith,Married,Met Expectations,Data Analyst,NA - Still Employed,7,39,3,0,85623
30,4/11/2015,10/13/2019,,IT,5/15/1990,100356,Active,M,Peter van Leeuwen,Married,Met Expectations,IT Support,NA - Still Employed,9,35,5,0,77470
30,4/14/2015,4/19/2019,,IT,11/11/1987,100357,Active,M,Peter van Leeuwen,Single,Improvement Needed,Network Engineer,NA - Still Employed,4,38,3,0,55721
30,4/17/2015,2/1/2019,,Operations,9/7/1990,100358,Active,F,Micheal Miller,Married,Met Expectations,Production Technician I,NA - Still Employed,2,35,3,0,53019
40,4/19/2015,1/30/2019,,Operations,1/18/1977,100359,Active,F,Micheal Miller,Single,Met Expectations,Production Technician I,NA - Still Employed,3,48,4,0,58619
40,4/20/2015,3/14/2019,,IT,3/30/1984,100360,Active,F,Graeme Smith,Single,Met Expectations,Database Administrator,NA - Still Employed,12,41,5,0,98307
30,4/23/2015,7/5/2019,,Operations,12/1/1987,100361,Active,F,Karen Linberg,Single,Met Expectations,Production Technician II,NA - Still Employed,13,38,5,0,58749
40,4/26/2015,3/15/2019,,Operations,12/5/1985,100362,Active,M,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,19,40,3,0,53286
40,4/27/2015,6/22/2016,7/7/2016,IT,4/11/1976,100363,Voluntarily Terminated,M,Graeme Smith,Married,Met Expectations,Sr. DBA,Career Change,3,49,3,0,108122
50,4/28/2015,1/26/2019,,IT,2/1/1970,100364,Active,M,Peter van Leeuwen,Married,Met Expectations,Network Engineer,NA - Still Employed,6,55,5,0,80074
40,4/28/2015,5/9/2019,,IT,9/25/1978,100365,Active,F,Peter van Leeuwen,Widowed,Met Expectations,Sr. Network Engineer,NA - Still Employed,13,47,4,0,109657
40,5/11/2015,3/1/2019,,Operations,3/4/1978,100366,Active,F,Lindsay Graham,Married,Met Expectations,Production Technician I,NA - Still Employed,4,47,5,0,67810
50,5/13/2015,10/6/2018,10/21/2018,IT,11/28/1973,100367,Voluntarily Terminated,F,Graeme Smith,Single,Met Expectations,Principal Data Architect,Found a better Job,1,52,3,0,124506
40,5/14/2015,1/28/2019,,IT,4/15/1982,100368,Active,F,Peter van Leeuwen,Divorced,Met Expectations,IT Support,NA - Still Employed,1,43,4,0,63332
30,5/14/2015,12/15/2016,12/30/2016,IT,2/16/1989,100369,Voluntarily Terminated,M,Peter van Leeuwen,Married,Met Expectations,Network Engineer,Health,5,36,4,0,77673
50,5/16/2015,2/9/2019,,IT,9/13/1970,100370,Active,M,Graeme Smith,Married,Met Expectations,Data Analyst,NA - Still Employed,4,55,3,0,88320
40,5/19/2015,1/31/2019,,Sales,1/21/1983,100371,Active,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,NA - Still Employed,6,42,5,0,69274
30,5/21/2015,3/1/2019,,IT,6/2/1989,100372,Active,F,Peter van Leeuwen,Married,Met Expectations,IT Support,NA - Still Employed,17,36,4,0,70775
40,5/24/2015,2/15/2019,,Operations,10/8/1985,100373,Active,F,Micheal Miller,Single,Met Expectations,Production Technician I,NA - Still Employed,19,40,3,0,62764
30,5/25/2015,10/27/2015,11/11/2015,IT,11/25/1988,100374,Voluntarily Terminated,M,Graeme Smith,Divorced,Met Expectations,Data Analyst,Attendance,19,37,3,0,91921
30,5/26/2015,2/21/2019,,IT,7/5/1988,100375,Active,M,Peter van Leeuwen,Divorced,Met Expectations,IT Support,NA - Still Employed,5,37,5,0,53997
30,5/29/2015,11/15/2019,,IT,8/9/1986,100376,Active,F,Graeme Smith,Married,Met Expectations,Database Administrator,NA - Still Employed,18,39,3,0,110151
30,5/29/2015,2/21/2019,,Operations,5/24/1993,100377,Active,F,Will Bailey,Divorced,Met Expectations,Production Technician II,NA - Still Employed,5,32,3,0,65746
30,11/11/2015,3/2/2019,,Operations,5/11/1990,100378,Active,M,Emily Albright,Married,Improvement Needed,Production Technician I,NA - Still Employed,18,35,5,0,65575
40,2/17/2016,6/19/2019,,IT,3/20/1981,100379,Active,F,Alex Mayor,Married,Met Expectations,BI Developer,NA - Still Employed,5,44,5,0,96375
30,2/25/2016,8/28/2019,,IT,9/27/1987,100380,Active,F,Alex Mayor,Single,Met Expectations,Senior BI Developer,NA - Still Employed,11,38,5,0,86037
40,2/27/2016,3/6/2019,,Operations,11/8/1983,100381,Active,M,Jan Ramsey,Single,Exceeded Expectations,Production Manager,NA - Still Employed,5,42,4,6,76771
40,5/2/2016,1/29/2019,,Admin,8/16/1985,100382,Active,M,Jan Ramsey,Married,Met Expectations,Shared Services Manager,NA - Still Employed,3,40,5,0,96517
40,6/24/2016,2/5/2019,,Operations,12/26/1984,100383,Active,F,Erik Baker,Single,Met Expectations,Production Technician II,NA - Still Employed,2,41,5,0,73776
50,6/29/2016,2/11/2019,,IT,4/8/1973,100384,Active,M,Jen Heinz,Married,Met Expectations,BI Director,NA - Still Employed,9,52,5,0,112769
30,7/2/2016,2/7/2019,,Operations,8/20/1988,100385,Active,F,Micheal Miller,Single,Met Expectations,Production Technician I,NA - Still Employed,18,37,5,0,58656
30,7/5/2016,2/27/2019,,IT,1/17/1987,100386,Active,F,Graeme Smith,Single,Met Expectations,Sr. DBA,NA - Still Employed,5,38,5,0,104365
40,7/6/2016,2/12/2019,,Sales,1/23/1984,100387,Active,M,Lyndon Johnson,Married,Met Expectations,Area Sales Manager,NA - Still Employed,2,41,5,0,65778
40,7/22/2016,2/2/2019,,IT,2/3/1984,100388,Active,M,Peter van Leeuwen,Married,Met Expectations,Sr. Network Engineer,NA - Still Employed,19,41,4,0,90924
50,8/13/2016,1/28/2019,,Operations,9/30/1966,100389,Active,F,Lindsay Graham,Married,Exceeded Expectations,Production Technician II,NA - Still Employed,14,59,4,0,74006
40,11/25/2016,2/7/2019,,Operations,12/1/1976,100390,Active,F,Will Bailey,Married,Met Expectations,Production Technician II,NA - Still Employed,1,49,3,0,65204
40,2/28/2017,4/18/2019,,IT,3/19/1982,100391,Active,M,Alex Mayor,Single,Met Expectations,Senior BI Developer,NA - Still Employed,7,43,4,0,85783
40,3/10/2017,1/31/2019,,IT,3/27/1984,100392,Active,M,Alex Mayor,Single,Met Expectations,BI Developer,NA - Still Employed,1,41,5,0,101471
30,5/16/2017,2/4/2019,,IT,11/16/1989,100393,Active,M,Alex Mayor,Married,Met Expectations,BI Developer,NA - Still Employed,11,36,5,0,100923
30,5/18/2017,2/10/2019,,IT,5/22/1988,100394,Active,M,Alex Mayor,Married,Met Expectations,BI Developer,NA - Still Employed,1,37,4,0,93303
50,7/31/2017,6/21/2019,,IT,6/11/1973,100395,Active,F,Alex Mayor,Single,Met Expectations,Data Architect,NA - Still Employed,6,52,4,0,154226
50,11/1/2017,3/27/2019,,IT,3/7/1971,100396,Active,M,Alex Mayor,Single,Met Expectations,Senior BI Developer,NA - Still Employed,11,54,4,0,89637
30,9/19/2018,2/23/2019,,Operations,5/4/1988,100397,Active,M,Brendan Pitt,Married,Met Expectations,Production Technician I,NA - Still Employed,7,37,5,0,61394
